,food_name,food_group,food_sub_group,serving_measure,nutrient,Carbohydrate_amount,nutrient_unit
0,"Apricot, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (202g),Carbohydrate,127.87,g
1,"Avocado juice, with added milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),Carbohydrate,7.75,g
2,"Bak kua, beef","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (54g),Carbohydrate,22.09,g
3,Baked kueh lapis,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),Carbohydrate,17.3,g
4,Baked otah bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (67g),Carbohydrate,28.14,g
5,Banana cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (90g),Carbohydrate,32.58,g
6,Barley water,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (237g),Carbohydrate,13.98,g
7,Basan cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),Carbohydrate,30.8,g
8,Beef serunding (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (226.08g),Carbohydrate,8.09,g
9,Beef stomach noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (293g),Carbohydrate,41.02,g
10,Beetroot halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (92g),Carbohydrate,67.07,g
11,Bhatura,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (113g),Carbohydrate,44.39,g
12,"Biscuit, Japanese","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (82g),Carbohydrate,42.8,g
13,Braised beef stomach,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (225g),Carbohydrate,8.33,g
14,Braised egg in soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Whole (52g),Carbohydrate,0.62,g
15,"Bun, tuna","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (79g),Carbohydrate,26.43,g
16,"Cake, bean","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (15g),Carbohydrate,8.6,g
17,"Cake, rice, with soya sauce, Japanese","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (58g),Carbohydrate,28.07,g
18,Cauliflower with potatoes and tomatoes,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (353g),Carbohydrate,25.77,g
19,Char siew fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (418g),Carbohydrate,66.04,g
20,Chicken briyani,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (400g),Carbohydrate,88,g
21,Chicken opor,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (406g),Carbohydrate,9.34,g
22,"Chicken rice, with roasted chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (330g),Carbohydrate,73.26,g
23,"Chilli, green, pickled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Teaspoon (7.1g),Carbohydrate,0.62,g
24,Chocolate burfi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (63g),Carbohydrate,39.06,g
25,"Coconut cream, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Plate-16cm (80.6g),Carbohydrate,10.53,g
26,"Curry chicken with potato, skin removed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-rice (11and 1/2 cm) (220g),Carbohydrate,12.12,g
27,Daging kambing goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (150g),Carbohydrate,1.65,g
28,"Deep fried chicken chop, with skin","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (150.25g),Carbohydrate,5.11,g
29,Deep fried mackerel,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (114g),Carbohydrate,0,g
30,Deep fried wanton,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (20g),Carbohydrate,5.38,g
31,Dry chicken feet noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (409g),Carbohydrate,64.62,g
32,Fish and chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (268g),Carbohydrate,76.92,g
33,Fish ball noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (775g),Carbohydrate,73.86,g
34,"Fish ball, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (27.41g),Carbohydrate,0.38,g
35,French Toast,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (96g),Carbohydrate,23.62,g
36,Fried batter with prawn shell,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (108g),Carbohydrate,23.33,g
37,Fried mutton steak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (44.58g),Carbohydrate,0.2,g
38,Fried snow peas with prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (236.9g),Carbohydrate,9,g
39,Fried spicy squid,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),Carbohydrate,0.21,g
40,"Frog, leg, with green onion, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (279g),Carbohydrate,3.32,g
41,Gado gado,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (5g),Carbohydrate,0.53,g
42,"Gravy, lor bak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (152g),Carbohydrate,11.55,g
43,"Gravy, mee rebus","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",1 portion (222.18g),Carbohydrate,30.44,g
44,Grilled stingray with sambal,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (244g),Carbohydrate,3.17,g
45,Gula melaka,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Dessertspoon (37g),Carbohydrate,29.75,g
46,Hot plate tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (416g),Carbohydrate,3.74,g
47,Kaya Toast with Butter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (29g),Carbohydrate,14.79,g
48,Kheema with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (239g),Carbohydrate,18.16,g
49,Kidney mee sua soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (578g),Carbohydrate,38.15,g
50,Korean hot and spicy soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (462g),Carbohydrate,9.85,g
51,Korean spicy chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (138g),Carbohydrate,5.01,g
52,Kueh lopes pulut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (72g),Carbohydrate,23.98,g
53,"Kway chap, noodles only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (206g),Carbohydrate,27.81,g
54,"Lassi, sour","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (244g),Carbohydrate,15.86,g
55,"Long beans with tempeh, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (420.5g),Carbohydrate,9.08,g
56,Mango juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (366g),Carbohydrate,32.21,g
57,"Meatloaf, chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (34g),Carbohydrate,0.78,g
58,Miso soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-rice (11and 1/2 cm) (102g),Carbohydrate,0.41,g
59,Mock abalone,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (96g),Carbohydrate,6.53,g
60,"Mutton vindaloo, with coconut milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (416g),Carbohydrate,26.21,g
61,"Ngoh hiang, mixed items","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),Carbohydrate,6.3,g
62,"Okra, stuffed with mackerel (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (196.94g),Carbohydrate,2.7,g
63,"Omelette with long beans, minced pork and prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (101.6g),Carbohydrate,0.6,g
64,Onion omelette,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-20cm (191g),Carbohydrate,9.93,g
65,Pan fried tapioca cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (147g),Carbohydrate,68.18,g
66,Paneer pakora,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (63g),Carbohydrate,7.69,g
67,"Paste, laksa, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (270g),Carbohydrate,26.19,g
68,"Peanut with shell, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (148g),Carbohydrate,14.36,g
69,"Peas, green, battered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (106g),Carbohydrate,49.98,g
70,"Peratal, chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (363g),Carbohydrate,15.97,g
71,Pig organ soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (444g),Carbohydrate,4.88,g
72,"Popcorn, caramel","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (140g),Carbohydrate,86.86,g
73,"Popiah circular shape, skin only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8g),Carbohydrate,5.45,g
74,"Pork ball, raw","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Packet (190g),Carbohydrate,20.14,g
75,Portuguese egg tart,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (70g),Carbohydrate,21.42,g
76,"Potato puree, deep fried (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (143.9g),Carbohydrate,65.33,g
77,Pulut hitam with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (418g),Carbohydrate,70.64,g
78,Rainbow kueh lapis,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (69g),Carbohydrate,21.6,g
79,Roasted duck,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (156g),Carbohydrate,2.34,g
80,Sardine without bones,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (62g),Carbohydrate,0.22,g
81,Seaweed chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (18g),Carbohydrate,2.09,g
82,Shark fin soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (592g),Carbohydrate,18.94,g
83,"Snake gourd, with dhal and ghee, in coconut milk, boiled (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (67.03g),Carbohydrate,3.76,g
84,Sooji halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (133g),Carbohydrate,61.31,g
85,Soto ayam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (569g),Carbohydrate,17.64,g
86,"Soya bean milk, with sugar (hawker centre)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (250g),Carbohydrate,19.25,g
87,Steamed egg with tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (131.7g),Carbohydrate,0.65,g
88,Steamed fish with preserved black bean,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (47.5g),Carbohydrate,0.29,g
89,Stir fried bean sprout with dried prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (194.8g),Carbohydrate,4.75,g
90,Stir fried bittergourd with egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (80g),Carbohydrate,2.72,g
91,Stir fried dou miao,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (162g),Carbohydrate,2.27,g
92,Stir fried french beans with dried prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (287g),Carbohydrate,9.76,g
93,Stir fried mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (109.34g),Carbohydrate,2.81,g
94,Stir fried sea cucumber with mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (318.7g),Carbohydrate,11.79,g
95,"Sushi, california roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (40g),Carbohydrate,8.92,g
96,"Sushi, raw tuna, roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),Carbohydrate,3.57,g
97,"Sushi, sweet beancurd","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (34g),Carbohydrate,10.06,g
98,Sweet potato porridge (with ginkgo nuts & sesame oil),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (362g),Carbohydrate,34.57,g
99,Szechuan chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (290g),Carbohydrate,20.3,g
100,"Tangyuen, peanut filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),Carbohydrate,10.3,g
101,Thosai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (45g),Carbohydrate,17.64,g
102,Vegetarian mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),Carbohydrate,13.51,g
103,"Waffles, with red bean filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (131g),Carbohydrate,71.07,g
104,Wah ko kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (58.3g),Carbohydrate,29.21,g
105,Yam paste mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),Carbohydrate,16.27,g
106,"Yong tau foo, beancurd skin, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8g),Carbohydrate,0.18,g
107,"Yong tau foo, mixed items, noodles not included","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (324g),Carbohydrate,21.71,g
108,You tiao,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (74g),Carbohydrate,36.26,g
