Unnamed: 0,food_name,food_group,food_sub_group,serving_measure,Protein_amount,nutrient_unit,Total fat_amount,Carbohydrate_amount,Cholesterol_amount,Sodium_amount,Sugar_amount,Glycemic index_amount,Energy_amount
41,Kidney mee sua soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (578g),15.61,g,7.51,,,,,,
42,Kiwi juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (292g),1.17,g,1.46,,,,,,
43,Kopi C siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),2.52,g,2.33,,,,,,
44,Kueh pietee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (37.1g),1.67,g,6.08,,,,,,
45,Kueh rose,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (10g),0.67,g,2.44,,,,,,
46,Lettuce drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (250g),1,g,0.0,,,,,,
47,Macaroni soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (487.47g),38.71,g,7.02,,,,,,
48,Malay style fried spicy prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-rice (11and 1/2 cm) (84.66g),12.45,g,4.49,,,,,,
49,"Mee siam, without gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (368g),15.46,g,19.87,,,,,,
50,Nasi daging,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (590g),37.17,g,19.47,,,,,,
51,Nasi minyak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (245g),7.11,g,10.05,,,,,,
52,Nasi tomato,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (267g),11.03,g,13.0,,,,,,
53,"Ngoh hiang, meat roll, bung bung","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (72g),6.34,g,3.38,,,,,,
54,Noni fruit juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (955g),5.73,g,0.96,,,,,,
55,Otak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (29g),3.84,g,1.86,,,,,,
56,"Oyster sauce, vegetarian","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (443g),9.75,g,0.44,,,,,,
57,"Paste, buah keluak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (232g),11.6,g,25.75,,,,,,
58,Peanut and pork porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),22.72,g,18.21,,,,,,
60,Pineapple fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (300g),16.8,g,18.3,,,,,,
61,Plain waffle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (95g),,g,15.11,,,,,,
62,Pork floss,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Half Cup (34g),10.92,g,2.38,,,,,,
64,"Pork, belly, with yam slices, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (149.41g),15.69,g,17.48,,,,,,
65,"Potato puree, deep fried (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (143.9g),10.07,g,21.59,,,,,,
67,"Prawn masala, stir-fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (130g),8.19,g,6.89,,,,,,
68,"Pulut hitam, served with coconut milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (425.2g),3.4,g,1.28,,,,,,
69,Pulut serikaya,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (80.6g),4.59,g,9.12,,,,,,
70,Pung kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (107g),3.95,g,4.76,,,,,,
71,Quail egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Whole (8.98g),1.16,g,0.97,,,,,,
72,Red bean taiyaki,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),4.33,g,5.24,,,,,,
73,"Rice, glutinous in lotus leaf","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (176g),17.05,g,12.5,,,,,,
74,Roasted pork belly,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (8.3g),1.98,g,2.65,,,,,,
76,"Sausage, chicken, chilli","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (45.33g),7.66,g,3.9,,,,,,
77,Seafood bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (654g),28.71,g,9.16,,,,,,
78,Seafood claypot noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (555g),29.97,g,43.29,,,,,,
79,"Seaweed with spices, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (5g),0,g,0.22,,,,,,
80,Spare rib stock,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (1018g),13.23,g,3.05,,,,,,
81,Spicy vegetables with coconut milk and yoghurt,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (582g),12.8,g,33.76,,,,,,
82,Steamed mantou,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (52g),2.65,g,1.35,,,,,,
83,"Stir fried bean sprout, taukwa and chilli","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (210g),9.03,g,24.15,,,,,,
84,"Stir fried cabbage, with fuchok and tang hoon","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (122.3g),4.28,g,9.56,,,,,,
85,Stir fried chicken with almond,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (230.34g),23.75,g,31.49,,,,,,
86,"Stir fried chicken, with beansprouts","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (68.75g),8.55,g,6.72,,,,,,
87,Stir fried chinese cabbage with pork,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (56.35g),2.36,g,3.63,,,,,,
88,Stir fried chye sim,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (114.98g),3.24,g,14.96,,,,,,
90,Stir fried green pepper chicken breast,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (63.87g),8.9,g,3.7,,,,,,
91,Stir fried kailan with beef,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (334g),24.05,g,33.73,,,,,,
92,"Stir fried pig's blood, with spring onion and oyster sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (83.33g),8.86,g,3.31,,,,,,
93,Stir fried salted vegetable with minced beef,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (320.9g),23.1,g,23.43,,,,,,
94,"Sushi, raw cuttlefish","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),1.93,g,0.14,,,,,,
95,"Sushi, roll, cucumber","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (16g),0.44,g,0.08,,,,,,
96,"Tapioca chip, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (100g),1.5,g,24.4,,,,,,
98,Thai chicken feet salad,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (284g),19.03,g,5.68,,,,,,
99,"Thin pizza, crust only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Slice (22g),2.33,g,1.43,,,,,,
101,Tom yam noodle soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (930g),33.48,g,13.95,,,,,,
102,"Waffles, with red bean filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (131g),9.17,g,24.37,,,,,,
103,"Wanton soup, with chye sim","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (436g),12.64,g,13.95,,,,,,
104,Wife pastry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (72g),3.33,g,15.51,,,,,,
105,Yam paste mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),0.86,g,5.0,,,,,,
106,"Yong tau foo, mixed items, noodles not included","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (324g),19.76,g,15.55,,,,,,
107,chicken feet noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (628g),25.12,g,15.7,,,,,,
108,fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),18.17,g,20.36,,,,,,
0,"Apricot, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (202g),,g,0.4,127.87,,,,,
1,"Avocado juice, with added milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),2.75,g,9.5,7.75,,,,,
2,"Bak kua, beef","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (54g),15.44,g,3.19,22.09,,,,,
3,Baked kueh lapis,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),,g,16.9,17.3,,,,,
4,Baked otah bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (67g),7.1,g,5.49,28.14,,,,,
6,Barley water,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (237g),0,g,0,13.98,,,,,
7,Basan cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),2.09,g,18.37,30.8,,,,,
8,Beef serunding (Malay),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (226.08g),33.64,g,62.49,8.09,,,,,
9,Beef stomach noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (293g),31.64,g,12.01,41.02,,,,,
10,Beetroot halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (92g),0.18,g,9.11,67.07,,,,,
11,Bhatura,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (113g),7.41,g,,44.39,,,,,
12,"Biscuit, Japanese","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (82g),6.23,g,23.04,42.8,,,,,
14,Braised egg in soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Whole (52g),7.8,g,6.81,0.62,,,,,
15,"Bun, tuna","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (79g),9.68,g,10.51,26.43,,,,,
16,"Cake, bean","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (15g),11.29,g,5.33,8.6,,,,,
17,"Cake, rice, with soya sauce, Japanese","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (58g),1.39,g,0.29,28.07,,,,,
19,Char siew fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (418g),15.88,g,20.06,66.04,,,,,
20,Chicken briyani,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (400g),33.6,g,30,88.0,,,,,
21,Chicken opor,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (406g),49.13,g,47.91,9.34,,,,,
22,"Chicken rice, with roasted chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (330g),24.75,g,22.44,73.26,,,,,
24,Chocolate burfi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (63g),3.59,g,14.55,39.06,,,,,
26,"Curry chicken with potato, skin removed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-rice (11and 1/2 cm) (220g),21.87,g,18.5,12.12,,,,,
27,Daging kambing goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (150g),51,g,22.02,1.65,,,,,
28,"Deep fried chicken chop, with skin","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (150.25g),32.9,g,17.88,5.11,,,,,
29,Deep fried mackerel,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (114g),,g,9.92,0.0,,,,,
30,Deep fried wanton,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (20g),2.34,g,5.98,5.38,,,,,
31,Dry chicken feet noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (409g),,g,16.36,64.62,,,,,
34,"Fish ball, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (27.41g),3.89,g,0.74,0.38,,,,,
35,French Toast,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (96g),5.01,g,7.02,23.62,,,,,
36,Fried batter with prawn shell,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (108g),10.37,g,,23.33,,,,,
37,Fried mutton steak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (44.58g),14.29,g,7.91,0.2,,,,,
38,Fried snow peas with prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (236.9g),14.92,g,17.77,9.0,,,,,
39,Fried spicy squid,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),4.29,g,3.18,0.21,,,,,
41,Gado gado,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (5g),0.36,g,0.48,0.53,,,,,
42,"Gravy, lor bak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (152g),6.69,g,0.46,11.55,,,,,
43,"Gravy, mee rebus","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",1 portion (222.18g),5.55,g,4.67,30.44,,,,,
44,Grilled stingray with sambal,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (244g),48.31,g,10.74,3.17,,,,,
45,Gula melaka,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Dessertspoon (37g),0.04,g,0.07,29.75,,,,,
46,Hot plate tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (416g),30.78,g,71.14,3.74,,,,,
47,Kaya Toast with Butter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (29g),,g,4.67,14.79,,,,,
48,Kheema with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (239g),13.38,g,28.2,18.16,,,,,
50,Korean hot and spicy soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (462g),16.77,g,12.71,9.85,,,,,
51,Korean spicy chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (138g),22.6,g,16.39,5.01,,,,,
52,Kueh lopes pulut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (72g),2.3,g,1.73,23.98,,,,,
53,"Kway chap, noodles only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (206g),3.5,g,2.88,27.81,,,,,
54,"Lassi, sour","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (244g),4.15,g,4.64,15.86,,,,,
55,"Long beans with tempeh, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (420.5g),,g,29.76,9.08,,,,,
56,Mango juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (366g),0.53,g,0,32.21,,,,,
57,"Meatloaf, chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (34g),5.44,g,2.48,0.78,,,,,
58,Miso soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-rice (11and 1/2 cm) (102g),1.08,g,,0.41,,,,,
59,Mock abalone,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (96g),0.77,g,2.4,6.53,,,,,
60,"Mutton vindaloo, with coconut milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (416g),37.86,g,53.25,26.21,,,,,
62,"Okra, stuffed with mackerel (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (196.94g),7.68,g,14.97,2.7,,,,,
63,"Omelette with long beans, minced pork and prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (101.6g),11.88,g,17.59,0.6,,,,,
64,Onion omelette,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-20cm (191g),16.62,g,38.01,9.93,,,,,
65,Pan fried tapioca cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (147g),1.66,g,10.16,68.18,,,,,
66,Paneer pakora,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (63g),7.88,g,13.42,7.69,,,,,
68,"Peanut with shell, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (148g),18.8,g,42.03,14.36,,,,,
69,"Peas, green, battered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (106g),28.49,g,19.6,49.98,,,,,
70,"Peratal, chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (363g),36.3,g,29.04,15.97,,,,,
71,Pig organ soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (444g),22.2,g,5.77,4.88,,,,,
73,"Popiah circular shape, skin only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8g),0.59,g,0.11,5.45,,,,,
74,"Pork ball, raw","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Packet (190g),24.89,g,19.95,20.14,,,,,
75,Portuguese egg tart,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (70g),4.62,g,,21.42,,,,,
77,Pulut hitam with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (418g),3.4,g,1.28,70.64,,,,,
79,Roasted duck,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (156g),14.79,g,26.32,2.34,,,,,
80,Sardine without bones,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (62g),12.36,g,11.46,0.22,,,,,
81,Seaweed chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (18g),,g,2.43,2.09,,,,,
82,Shark fin soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (592g),29.6,g,14.8,18.94,,,,,
83,"Snake gourd, with dhal and ghee, in coconut milk, boiled (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (67.03g),1.81,g,1.84,3.76,,,,,
84,Sooji halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (133g),5.05,g,18.09,61.31,,,,,
86,"Soya bean milk, with sugar (hawker centre)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (250g),6.75,g,5,19.25,,,,,
87,Steamed egg with tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (131.7g),9.06,g,9.84,0.65,,,,,
88,Steamed fish with preserved black bean,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (47.5g),8.46,g,2.52,0.29,,,,,
89,Stir fried bean sprout with dried prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (194.8g),10.32,g,10.13,4.75,,,,,
90,Stir fried bittergourd with egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (80g),3.84,g,12.24,2.72,,,,,
91,Stir fried dou miao,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (162g),6.16,g,19.44,2.27,,,,,
92,Stir fried french beans with dried prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (287g),,g,23.25,9.76,,,,,
93,Stir fried mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (109.34g),1.94,g,6.21,2.81,,,,,
94,Stir fried sea cucumber with mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (318.7g),18.17,g,18.48,11.79,,,,,
95,"Sushi, california roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (40g),1.68,g,1.36,8.92,,,,,
96,"Sushi, raw tuna, roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),0.9,g,0.09,3.57,,,,,
97,"Sushi, sweet beancurd","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (34g),2,g,1.72,10.06,,,,,
98,Sweet potato porridge (with ginkgo nuts & sesame oil),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (362g),,g,,34.57,,,,,
