Unnamed: 0,food_name,food_group,food_sub_group,serving_measure,Protein_amount,nutrient_unit,Total fat_amount,Carbohydrate_amount,Cholesterol_amount,Sodium_amount,Sugar_amount,Glycemic index_amount,Energy_amount
99,Szechuan chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (290g),44.37,g,35.38,20.3,,,,,
100,"Tangyuen, peanut filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),1.19,g,4.44,10.3,,,,,
101,Thosai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (45g),8.55,g,13.28,17.64,,,,,
102,Vegetarian mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),1.36,g,3.86,13.51,,,,,
104,Wah ko kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (58.3g),1.46,g,0.35,29.21,,,,,
106,"Yong tau foo, beancurd skin, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8g),1.97,g,5.41,0.18,,,,,
108,You tiao,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (74g),6.14,g,12.73,36.26,,,,,
0,3-in-1 coffee powder,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (20g),0.78,mg,2.04,,0.5,,,,
1,"3-in-1 tea, powder","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (19g),0.7,mg,1.75,,1.14,,,,
3,"Anchovy, dried, with peanut, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,1 portion (100g),37.1,mg,42.3,,88.0,,,,
4,Apple strudel,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (128g),3.46,mg,13.95,,26.88,,,,
5,"Apple, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (101g),0,mg,0.51,,0.0,,,,
6,"Bak kut teh, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (417g),2.09,mg,0.42,,33.36,,,,
8,Bandung,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,1 portion (250g),19.4,mg,15.71,,5.0,,,,
9,Barbecued spare ribs,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (27.82g),6.37,mg,8.87,,25.59,,,,
10,Bathusa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (56g),2.52,mg,16.58,,0.0,,,,
11,Beef porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (370g),12.95,mg,8.73,,25.16,,,,
14,Bingka ubi kayu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (73g),2.1,mg,4.5,,0.0,,,,
15,Black pepper crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (266g),50.54,mg,16.68,,234.08,,,,
16,Braised duck without skin,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (248g),61.53,mg,14.43,,279.25,,,,
18,Brinjal pachadi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (127g),,mg,,,0.0,,,,
21,Century egg porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (512.36g),11.43,mg,4.71,,370.39,,,,
22,Cereal prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (450g),93.6,mg,80.1,,391.5,,,,
24,Char kway teow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (384g),22.66,mg,38.4,,234.24,,,,
25,Char siew,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (80g),5.36,mg,2.68,,77.6,,,,
26,"Chendol, durian","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (398g),5.73,mg,19.22,,0.0,,,,
27,Chin cha lok,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (292g),34.16,mg,2.63,,233.6,,,,
29,Claypot chicken with dark soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (120g),14.1,mg,7.85,,39.24,,,,
30,Coconut kueh tutu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (20g),0.86,mg,1.32,,-0.2,,,,
31,"Coconut milk, fresh, first squeeze","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Cup (251.8g),8.06,mg,62.19,,0.0,,,,
34,"Di wang chai with belachan, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (184g),,mg,22.82,,16.56,,,,
36,Dry beef noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (465g),20,mg,5.12,,41.85,,,,
37,"Dumpling, chives and minced pork filling, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (26g),2.47,mg,5.19,,9.9,,,,
38,"Egg yolk, powder","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Packet (422g),176.4,mg,151.08,,1287.1,,,,
39,"Eggplant, with minced meat, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (100.1g),4.7,mg,16.02,,29.38,,,,
40,"Fish ball mee pok, dry","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (450g),31.05,mg,13.5,,32.85,,,,
41,"Fish ball, Foochow, boiled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (27g),2.4,mg,1.7,,5.94,,,,
42,Fish head ban mian soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (858g),63.32,mg,30.89,,184.47,,,,
43,Fish ngoh hiang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (140g),7,mg,,,62.72,,,,
44,"Fried bee hoon, with soya gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (571g),25.01,mg,19.24,,130.19,,,,
45,Fried plain carrot cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (80g),1.28,mg,1.84,,1.6,,,,
48,Fried tang hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (437g),1.94,mg,6.21,,166.06,,,,
50,Green bean fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (43g),3.14,mg,7.4,,0.0,,,,
52,Ham and Cheese crepe,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (186g),22.47,mg,18.8,,87.72,,,,
53,Har gow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),0.79,mg,0.74,,4.86,,,,
54,Haw slices,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (12g),0.61,mg,0.04,,0.0,,,,
55,Ice soursop,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (299g),0,mg,0.41,,0.0,,,,
56,Kaya waffle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (120g),8.03,mg,19.52,,65.64,,,,
57,King spare ribs,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (120g),26.16,mg,15.48,,39.6,,,,
61,Kung po chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (209g),38.46,mg,35.74,,202.73,,,,
62,Lo han chai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (174g),5.05,mg,12.53,,0.0,,,,
63,Lor mee (NEW),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (640g),25.6,mg,17.28,,109.44,,,,
64,Mapo tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-23cm (160.36g),16.68,mg,17.32,,27.29,,,,
65,"Mee rebus, without gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (463g),18.52,mg,19.86,,204.04,,,,
66,Minced pork tofu soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (692g),21.45,mg,6.92,,103.8,,,,
67,Mo kuo kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (61g),3.23,mg,0.24,,0.0,,,,
68,Muah chee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-16cm (100g),7.6,mg,9.4,,0.0,,,,
69,"Nasi briyani, rice only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (224g),6.5,mg,9.86,,6.72,,,,
70,Omelette with prawn and green onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-23cm (181g),24.22,mg,59.97,,449.42,,,,
71,Paper wrapped chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (90g),20.97,mg,15.03,,154.8,,,,
72,"Paste, curry, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Packet (373.63g),19.43,mg,18.01,,4.33,,,,
81,Rasmalai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (252g),13.61,mg,15.37,,45.36,,,,
82,"Red bean cream, with lotus seed, sweetened","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (428g),12.84,mg,1.71,,0.0,,,,
86,Seafood porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (607g),21.61,mg,8.32,,115.33,,,,
87,Shrimp chee cheong fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (98g),4.51,mg,8.92,,26.46,,,,
88,"Soon kway, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (72.4g),,mg,1.45,,0.72,,,,
89,Sotong sambal,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (219g),26.94,mg,11.39,,372.3,,,,
90,"Soup, green beans, with coconut milk, malay style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (364.25g),16.86,mg,11.66,,0.0,,,,
91,Spicy stir-fried cauliflower,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (85.98g),1.89,mg,3.44,,4.51,,,,
92,"Steamed chicken, with skin and bone","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (10.26g),1.52,mg,0.45,,9.13,,,,
93,Steamed egg with minced pork,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (143g),12.73,mg,13.01,,317.46,,,,
95,Steamed pork ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Whole (21g),3.44,mg,5.25,,6.93,,,,
97,Stir fried eggplant,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (177g),4.25,mg,14.69,,20.36,,,,
98,Sweet potato soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (300g),1.8,mg,0.3,,-3.0,,,,
100,Tauhu telur,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (317g),34.27,mg,65.62,,224.44,,,,
101,"Taukwa, pan fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Piece (71.47g),9.29,mg,7.29,,0.0,,,,
102,"Tea, bubble","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (400g),,mg,7.18,,0.0,,,,
103,Teh tarik,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (363g),2.54,mg,6.17,,0.0,,,,
104,Teppanyaki chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (95g),15.39,mg,8.36,,31.35,,,,
105,Watermelon juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (434g),0,mg,0.17,,0.0,,,,
106,"Wine, cooking, Chinese","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (433g),0,mg,0,,0.0,,,,
107,Wu kok,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (113.5g),2.5,mg,11.01,,10.22,,,,
108,Yam cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (133g),0.86,mg,5,,2.66,,,,
1,Banana chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),1.28,mg,15.41,,,107.95,,,
5,"Beef, rendang with soya sauce, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (138.18g),30.32,mg,19.61,,,960.21,,,
6,"Beef, wrapped in turmeric leaf, salt and pepper, roasted (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (49.66g),16.08,mg,2.34,,,274.12,,,
9,"Biscuits, with icing on top","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (130g),7.28,mg,9.23,,,282.1,,,
11,Boiled kampung chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (148g),75.03,mg,10.82,,,62.16,,,
12,Boiled spicy potato,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (84g),1.76,mg,0.25,,,43.68,,,
13,Boonthi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),2.2,mg,12.25,,,16.5,,,
15,Braised large intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (101g),12.02,mg,12.93,,,642.36,,,
16,Bubur kanji,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (376.5g),12.95,mg,16.04,,,287.27,,,
17,Cheng tng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (400g),2,mg,0,,,20.0,,,
20,Chicken curry noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (532g),8.42,mg,13.86,,,2581.26,,,
21,Chicken tikka,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (71.13g),23.92,mg,8.33,,,187.21,,,
22,"Chicken, roasted, skinless","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (202g),53.13,mg,14.75,,,553.48,,,
23,"Chilli soyabean, paste","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Tablespoon (20g),0.73,mg,0.77,,,775.8,,,
25,Cooked jellyfish with sesame seed,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (205g),9.49,mg,2.99,,,646.78,,,
26,"Corn snack, cheese flavoured, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (45g),3.2,mg,14.04,,,317.25,,,
27,Crab finger,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),3.96,mg,1.71,,,171.6,,,
28,Crispy pork floss,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Packet (30g),9.69,mg,1.77,,,410.1,,,
29,"Crocodile meat, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (37g),10.55,mg,4.29,,,68.45,,,
31,Deep fried spare ribs,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (135g),26.07,mg,31.35,,,1199.61,,,
32,"Dim sum, sharkfin dumpling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (26.67g),3.05,mg,2.15,,,139.56,,,
33,"Dim sum, you tiao","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),1.49,mg,3.53,,,34.56,,,
34,"Duck rice, with skin removed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (350g),25.83,mg,11.66,,,346.33,,,
35,Durian cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (90g),3.87,mg,14.22,,,108.0,,,
37,"Eggplant, grilled, with onion and chilli, pureed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (53.33g),0.96,mg,0.5,,,147.51,,,
41,Fish porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (559g),25.55,mg,5.77,,,1347.19,,,
43,Fried luncheon meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (30g),9.12,mg,17.28,,,256.56,,,
45,Fried tofu with spring onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (115.8g),12.62,mg,17.83,,,717.38,,,
47,Ham and Cheese Toast,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (91g),9.65,mg,16.01,,,606.06,,,
49,Hummus,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (330g),17.16,mg,37.62,,,305.25,,,
50,Idli,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),3.38,mg,0.45,,,280.5,,,
52,"Kebab, beef, without sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (183g),27.45,mg,12.44,,,387.96,,,
54,Korean Bulgogi Chicken with Rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (493g),40.92,mg,22.14,,,1336.03,,,
55,Kueh dadar,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (80.5g),3.46,mg,9.26,,,146.51,,,
56,Kueh ko swee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (54g),,mg,1.78,,,82.08,,,
57,"Kway teow soup, with beef balls","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),18.15,mg,4.4,,,1930.5,,,
58,Lap cheong,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (50g),10.9,mg,22.1,,,865.0,,,
61,"Minced pork, with cucumber, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (175.03g),12.36,mg,18.19,,,405.02,,,
62,Miso ramen,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (553g),17.31,mg,6.14,,,1715.41,,,
64,Mixed vegetable bhujjia,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (196g),3.72,mg,4.51,,,358.68,,,
65,"Mooncake, lotus seed paste, with four egg yolks, baked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (208g),20.68,mg,67.91,,,435.76,,,
66,"Mooncake, lotus seed paste, with two egg yolks, baked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (192g),16.2,mg,55.18,,,281.47,,,
67,Mutton cutlet,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (76.51g),16.88,mg,14.86,,,427.0,,,
68,"Ngoh hiang, yam meat roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),,mg,8.22,,,292.2,,,
69,"Oyster pancake, foo chow style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),6.9,mg,,,,354.0,,,
71,"Paste, mee siam, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (365g),8.03,mg,54.75,,,9760.1,,,
73,Plain porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (546g),,mg,0.51,,,382.2,,,
78,Red bean paste mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),1.38,mg,3.59,,,25.7,,,
80,Sambal chilli,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Teaspoon (12g),43.35,mg,23.92,,,195.12,,,
82,Sliced beef soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (473g),30.27,mg,4.26,,,1929.84,,,
84,"Soup, cream of black sesame seed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (306g),2.88,mg,11.69,,,14.99,,,
86,Spicy cucumber salad with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (98g),0.59,mg,4.7,,,660.52,,,
92,"Sushi, cooked prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (31g),1.14,mg,0.11,,,104.53,,,
93,"Sushi, preserved radish","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (8.5g),0.25,mg,0.04,,,47.34,,,
95,"Sushi, roll, futomaki","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (52g),1.95,mg,0.86,,,228.12,,,
96,Sweet and sour chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (456g),49.7,mg,47.88,,,1381.68,,,
97,"Tangyuen with red bean filling, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (337g),11.15,mg,14.32,,,33.03,,,
103,Vegetable dalcha,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (325g),13.98,mg,19.83,,,1277.25,,,
106,Watercress with pork ribs soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (456.9g),15.08,mg,7.31,,,1366.13,,,
