Unnamed: 0,food_name,food_group,food_sub_group,serving_measure,Protein_amount,nutrient_unit,Total fat_amount,Carbohydrate_amount,Cholesterol_amount,Sodium_amount,Sugar_amount,Glycemic index_amount,Energy_amount
107,Yu sheng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (387g),18.58,mg,42.18,,,650.16,,,
108,chicken kebab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (230g),40.71,mg,22.77,,,752.1,,,
0,Almond jelly,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (200g),2.4,g,1.2,,,,31.0,,
2,"Ang koo kueh, green bean fillling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (51g),2.09,g,4.28,,,,4.13,,
3,"Athirasam, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),1.98,g,9.52,,,,20.19,,
6,"Beansprouts with salted fish, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (75.9g),4.78,g,7.06,,,,1.62,,
8,"Biscuit, wafer (old)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (9g),0.48,g,2.25,,,,2.29,,
9,Boiled chicken intestines,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (48g),5.9,g,4.8,,,,0.0,,
16,Chawamushi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-rice (11and 1/2 cm) (124g),8.44,g,7.94,,,,1.79,,
17,"Cheese cake, Fiesta","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (61g),5.73,g,11.96,,,,7.26,,
21,"Chicken nugget, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (20g),2.78,g,3.34,,,,1.42,,
25,Chinese mutton soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (533g),36.24,g,27.18,,,,0.0,,
27,"Curry green dhal, without coconut milk","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-dessert (15 cm) (141.2g),9.18,g,,,,,2.32,,
28,Dakgalbi with rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (450g),33.12,g,12.33,,,,4.28,,
29,Deep fried flour batter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),2.8,g,3.9,,,,0.0,,
30,Deep fried jellyfish on a stick,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Stick (6g),0.68,g,0.71,,,,2.49,,
33,"Dim sum, dumpling, yam, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (69g),2.9,g,12.28,,,,1.24,,
37,"Eggplant, with batter, fried, herbal restaurant","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (166g),,g,39.18,,,,1.83,,
39,"Fish cutlet, Indian style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (95.03g),12.45,g,15.49,,,,1.14,,
40,Fried breaded squid ring,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,1 portion (82g),15.33,g,25.26,,,,0.49,,
41,Fried hong kong egg noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (408g),26.93,g,37.13,,,,0.82,,
42,"Fried vegetarian bee hoon, plain","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (299g),8.37,g,8.97,,,,14.65,,
43,Glazed doughnut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (67g),,g,13.6,,,,9.05,,
44,"Gravy, for Indian rojak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Dessertspoon (8g),0.11,g,,,,,1.09,,
46,Gyoza,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (26g),2.13,g,2.07,,,,0.28,,
47,Hee keow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (9g),0.28,g,0.06,,,,0.0,,
48,Honey dew with sago,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (256g),1.28,g,7.17,,,,11.01,,
50,"Indian rojak, tempeh, battered, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),12.66,g,14.82,,,,0.0,,
51,Kheema,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (64.58g),13.38,g,28.2,,,,1.09,,
53,Kueh Ongol ubi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),0.67,g,3.99,,,,10.44,,
54,Kueh makmur,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (11g),0.67,g,3.42,,,,1.85,,
57,"Lime, pickled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (300.82g),9.42,g,55.98,,,,4.03,,
60,"Octopus ball, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),1.98,g,3.06,,,,1.71,,
61,Omelette with onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-soup (16 and 1/2 cm) (248g),24.22,g,59.97,,,,7.69,,
67,"Pork, lean, minced, with salted fish, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (75.43g),15.92,g,6.41,,,,0.08,,
70,Rasgulla,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),0.84,g,1.21,,,,16.85,,
72,Rempah udang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (56g),3.08,g,3.19,,,,0.0,,
73,"Rice, with stewed beef","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (392g),30.97,g,18.42,,,,2.35,,
74,Salsa dip,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (322g),8.69,g,0.64,,,,21.57,,
78,"Soup, fish head","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (625g),25.63,g,15,,,,0.0,,
80,"Soup, pig's tail","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (463g),29.82,g,28.24,,,,0.0,,
81,"Soup, soft tofu, with prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-soup (16 and 1/2 cm) (312.2g),8.21,g,5.99,,,,1.59,,
84,Stir fried asparagus with scallop,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (120g),8.56,g,,,,,0.9,,
86,Stir fried chicken with button mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (120.55g),21.82,g,7.11,,,,1.45,,
88,Stir fried tofu with minced pork,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (247.16g),20.54,g,21.28,,,,1.48,,
89,Sushi roll,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (40g),1.95,g,0.86,,,,2.06,,
93,"Tangyuen with yam paste filling, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (343g),9.43,g,14.2,,,,18.08,,
96,"Tea, bubble, red, without pearl","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (360g),0,g,0,,,,28.08,,
97,"Tempeh, with sambal, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (62.45g),8.56,g,11.9,,,,3.88,,
100,Tomato brinjal curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (375g),3.75,g,8.63,,,,6.0,,
101,Unagi don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (344g),23.67,g,18.44,,,,6.19,,
102,Vegetarian brown rice porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (470g),7.76,g,3.9,,,,0.0,,
103,Vongole,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (402g),14.07,g,9.65,,,,4.02,,
105,"Water chestnut, with coconut custard topping, dessert","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),,g,3.34,,,,2.9,,
106,Yakitori chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (47g),4.66,g,11.2,,,,0.19,,
107,Yakitori chicken ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (60g),11.28,g,8.04,,,,2.64,,
108,"Yong tau foo, squid roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (10g),1.26,g,0.43,,,,0.18,,
0,"Ban mian, noodles only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (334g),9.35, ,2.67,,,,,220.44,
2,Bergedil,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Piece (49g),2.01, ,6.61,,,,,15.68,
3,"Carrot cake with egg, plain, mashed & fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (350g),, ,,,,,,129.5,
4,Chapati,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (46g),3.08, ,5.01,,,,,28.98,
5,Chasoba,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (275g),9.98, ,,,,,,151.25,
6,Chee cheong fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (101.33g),4.51, ,8.92,,,,,71.94,
8,"Chicken rice, rice only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (295g),6.2, ,7.67,,,,,200.6,
9,Chwee kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (57.33g),1.03, ,1.03,,,,,40.7,
10,Fried spring roll,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),21.7, ,44.72,,,,,10.34,
11,Ipoh hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (449g),15.72, ,13.92,,,,,305.32,
12,Jemput pisang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),4.03, ,7.83,,,,,52.44,
14,Ketupat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Whole (95g),2.19, ,0,,,,,67.45,
15,Kueh sarlat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (54g),1.78, ,2.43,,,,,41.04,
16,Lor mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (540g),25.6, ,17.28,,,,,334.8,
17,Murukku,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),2.4, ,6.62,,,,,10.78,
18,Naan,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (113g),8.02, ,9.27,,,,,80.23,
19,Nasi lemak with fried egg only,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (210g),12.81, ,13.65,,,,,144.9,
20,"Ngoh hiang, meat roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cylindrical Piece/Tube (59g),3.48, ,8.22,,,,,24.78,
21,"Noodles, instant, chicken abalone flavour,with seasoning, cooked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (496g),8.93, ,16.37,,,,,143.84,
22,Pandan chiffon cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (41g),3.32, ,7.01,,,,,18.86,
23,"Paste, black sesame, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (385g),5.01, ,12.32,,,,,184.8,
24,Plain roti prata,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (60g),5.1, ,7.14,,,,,40.2,
25,Pork and chives dumpling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (31g),2.6, ,3.69,,,,,8.68,
26,Potato curry puff,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (107g),5.14, ,17.98,,,,,43.87,
28,Putu mayam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-23cm (104g),2.29, ,3.54,,,,,73.84,
29,Red bean soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (250g),11.15, ,14.32,,,,,147.5,
30,Rice dumpling with meat filling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (185g),11.84, ,13.51,,,,,22.2,
32,Thunder Tea Rice with Soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (428g),26.54, ,33.94,,,,,273.92,
33,Vegetable samosa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (68g),3.54, ,11.42,,,,,36.04,
34,Yam rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-rice (11and 1/2 cm) (250g),8.25, ,4,,,,,197.5,
1,Agedeshi tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (12g),0.47,kcal,1.19,,,,,,15.08
3,Ayam kurmah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (519g),29.06,kcal,66.95,,,,,,877.11
6,"Beef satay, without satay sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (12g),2.92,kcal,0.88,,,,,,28.74
8,"Beef, cooked with coconut milk, garlic, ginger, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (283.4g),41.09,kcal,,,,,,,612.14
12,Braised beef tendon noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (444g),33.74,kcal,,,,,,,461.76
17,"Cabbage, in coconut milk, stewed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (271.1g),4.34,kcal,,,,,,,130.13
18,"Candy, peanut and sesame","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (43g),6.55,kcal,,,,,,,217.92
23,Chicken curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (706g),,kcal,,,,,,,1164.9
24,Chicken macaroni soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (483g),15.46,kcal,,,,,,,198.56
25,Chicken rendang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (116g),19.84,kcal,,,,,,,252.29
26,"Chilli sauce, chicken rice","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Dessertspoon (13g),0.23,kcal,,,,,,,4.01
30,Cream puff,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (34g),5.28,kcal,,,,,,,114.55
32,"Duck, with ginger, chinese mushroom, lettuce, stewed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (208.53g),25.94,kcal,,,,,,,382.86
36,Fish curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (261.23g),2.2,kcal,,,,,,,216.82
37,"Fish, curry, goa","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (152g),19.46,kcal,,,,,,,308.56
42,Fried mock duck,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-16cm (68g),13.94,kcal,,,,,,,143.48
43,Fried okra with shrimp paste,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (117g),2.93,kcal,,,,,,,149.05
44,Fried okra with spices,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,1 portion (119.8g),2.25,kcal,,,,,,,69.62
45,Fried pork with szechuan vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (161.2g),6.13,kcal,,,,,,,137.54
46,Fried prawn dumpling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (26g),3.15,kcal,,,,,,,62.22
49,Ham chi peng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),4.67,kcal,,,,,,,254.25
51,Honeydew juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (277g),2.49,kcal,,,,,,,105.26
54,Ice sweetcorn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (292g),3.1,kcal,,,,,,,164.4
56,Kuih bangkit,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (4g),0.11,kcal,,,,,,,15.24
57,Kuih talam ubi kayu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (68g),0.68,kcal,,,,,,,109.87
59,"Lotus seed, paste","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (323g),4.46,kcal,,,,,,,133.72
60,"Luncheon meat, chicken, fried with oil","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Slice (71g),9.79,kcal,,,,,,,203.06
62,"Mango, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fruit and fruit products,Packet (127g),0.76,kcal,,,,,,,455.93
64,Mutton dalcha,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (449g),31.88,kcal,,,,,,,594.52
65,Mutton kurma,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (192g),21.12,kcal,,,,,,,295.07
68,Payasam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (507.5g),8.12,kcal,,,,,,,550.68
69,Pig's liver soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (463g),8.44,kcal,,,,,,,171.31
70,"Pomfret, with coconut, steamed, Malay style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (163.47g),7.36,kcal,,,,,,,150.39
71,Popiah,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (139.89g),0.84,kcal,,,,,,,187.57
74,"Prawn with black bean sauce, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (116.44g),22.41,kcal,,,,,,,155.8
75,"Prawn, king, with shell, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (60.76g),14.01,kcal,,,,,,,76.5
77,Rempeyek,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (15g),2.27,kcal,,,,,,,83.42
79,Roti jala,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (80g),3.28,kcal,,,,,,,109.37
80,"Sauce, peking dip, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (293g),11.13,kcal,,,,,,,764.73
83,Shrimp paste,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Tablespoon (16g),57.89,kcal,,,,,,,46.24
84,"Soup, resum","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (419.7g),4.2,kcal,,,,,,,168.52
85,Soya bean cake with salted bean filling,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (48g),3.7,kcal,,,,,,,223.2
87,Spicy tapioca chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (128g),6.16,kcal,,,,,,,596.86
88,Steamed crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (237g),41,kcal,,,,,,,206.19
89,Steamed sui kow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (19.5g),1.19,kcal,,,,,,,27.4
90,Stewed taupok,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Piece (44g),3.3,kcal,,,,,,,89.32
91,Stir fried broccoli,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (172.78g),13.78,kcal,,,,,,,98.48
92,Stir fried luncheon meat with mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (120g),9.12,kcal,,,,,,,230.4
93,Stir fried prawn with cashew nut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (149.03g),23.55,kcal,,,,,,,302.53
96,Tapioca with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (70g),0.44,kcal,,,,,,,80.99
97,Teochew braised goose,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-23cm (120g),19.32,kcal,,,,,,,234.0
100,Turtle soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (424g),29.26,kcal,,,,,,,166.2
101,Wajik,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (362g),12.31,kcal,,,,,,,982.87
102,Wanton soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (445.12g),12.64,kcal,,,,,,,283.1
104,"Wanton, boiled, contain little meat","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (13.8g),0.79,kcal,,,,,,,18.83
108,suji halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (151.2g),4.16,kcal,,,,,,,428.8
